,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
514,Holman Side Plank Hip Drop,,Strength,Abdominals,Body Only,Intermediate,,
515,Holman Wide Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
516,Holman Straight-Legged Bicycle,,Strength,Abdominals,Body Only,Intermediate,,
517,Holman Stair Toe Tap,,Strength,Abdominals,Body Only,Intermediate,,
518,Holman Elbow Plank Ninja,,Strength,Abdominals,Body Only,Intermediate,,
519,Holman Traveling Stair Climb Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
520,Holman Hands-Elevated Burpee,,Strength,Abdominals,Body Only,Intermediate,,
521,Holman Straight Plank Donkey Kick,,Strength,Abdominals,Body Only,Intermediate,,
522,Holman Feet-Elevated Straight Plank Pike Pull,,Strength,Abdominals,Body Only,Intermediate,,
523,Holman Towel Burpee,,Strength,Abdominals,Body Only,Intermediate,,
524,Holman Elbow Plank to Alternating Side Plank Crunch,,Strength,Abdominals,Body Only,Intermediate,,
525,Holman Straight-Legged Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
526,Holman Feet-Elevated Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
527,Holman Ninja Knee Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
528,Holman Feet-Elevated Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
529,Holman Feet-Elevated Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
530,Holman Left Hand Right Foot Crab Reach,,Strength,Abdominals,Body Only,Intermediate,,
531,Holman Alternating Crab Flip to Froggy Push-Up to Kicks,,Strength,Abdominals,Body Only,Intermediate,,
532,Holman Right Hand Left Foot Sleeping Crab,,Strength,Abdominals,Body Only,Intermediate,,
533,Holman Left Hand Right Foot Sleeping Crab,,Strength,Abdominals,Body Only,Intermediate,,
534,Holman Straight Plank with Alternating Leg Kick-Under,,Strength,Abdominals,Body Only,Intermediate,,
535,Holman Right Hip Drop Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
536,Holman Right Side Diagonal Burpee,,Strength,Abdominals,Body Only,Intermediate,,
537,Holman Left Hip Drop Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
538,Holman Right Leg 7-Up Crunch,,Strength,Abdominals,Body Only,Intermediate,,
539,Holman Left Leg 7-Up Crunch,,Strength,Abdominals,Body Only,Intermediate,,
540,Holman Straight Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
541,Holman Feet-Elevated Couch Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
542,Holman Feet-Elevated Right Side Plank,,Strength,Abdominals,Body Only,Intermediate,,
543,Holman Alternating Up-Down Plank to Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
544,Holman Straight Plank Pike,,Strength,Abdominals,Body Only,Intermediate,,
545,Holman Ninja Knee Straight Plank,,Strength,Abdominals,Body Only,Intermediate,,
546,Holman Reverse Crunch to Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
547,Holman Straight Plank Quick Reach,,Strength,Abdominals,Body Only,Intermediate,,
548,Holman Alternating Diagonal Straight Plank,,Strength,Abdominals,Body Only,Intermediate,,
549,Holman Feet-Elevated Left Side Plank,,Strength,Abdominals,Body Only,Intermediate,,
550,Holman Right Hand Left Foot Crab Reach,,Strength,Abdominals,Body Only,Intermediate,,
551,Holman Low-Impact Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
552,Holman Alternating Crab Flip to Froggy Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
553,Holman High-Impact Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
554,Holman Single-Leg Right Pike,,Strength,Abdominals,Body Only,Intermediate,,
555,Holman Single-Leg Left Pike,,Strength,Abdominals,Body Only,Intermediate,,
556,Holman Shoulder Tap to Hand Tap,,Strength,Abdominals,Body Only,Intermediate,,
557,Holman Towel Reverse Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
558,Holman Side-to-Side Twist,,Strength,Abdominals,Body Only,Intermediate,,
559,Holman Crab Kick with Hop,,Strength,Abdominals,Body Only,Intermediate,,
560,Holman Crab Reach to Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
561,Holman Wide Squat Side-to-Side Obliques,,Strength,Abdominals,Body Only,Intermediate,,
562,Holman Side Plank Crunch,,Strength,Abdominals,Body Only,Intermediate,,
563,Total Fitness Ab Tuck,"The hollow-body knee tuck is a bodyweight abdominal exercise performed on the floor. It is similar to both the hollow-body hold and the knee tuck or reverse crunch, combining elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Strength,Abdominals,Body Only,Intermediate,,
564,Active hang from bar,"The active hang from bar is a static exercise that involves isometrically squeezing the shoulders into the sockets and activating the muscles of the upper back and core. It can be used to improve pull-up form or to do more pull-ups, but also has postural and shoulder health benefits.",Strength,Abdominals,Body Only,Intermediate,,
565,Cat-cow,Cat-cow is a traditional yoga pose that is also popular in fitness and strength training. It targets spinal mobility and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.,Strength,Abdominals,Body Only,Intermediate,,
566,Crab walk,"The crab walk is a full-body exercise that has been popular in schools and gym classes for decades. It's a full-body coordination challenge that also burns serious calories, making it an excellent inclusion in a full-body warm-up or bodyweight circuit workout.",Strength,Abdominals,Body Only,Intermediate,,
567,Lunge with overhead reach,The lunge with overhead reach is a full-body bodyweight movement targeting the quads and shoulders. It has both strength and mobility benefits and can be performed one leg at a time or alternating for time or for reps.,Strength,Abdominals,Body Only,Intermediate,,
568,Hang from bar,"The hang from bar is a static exercise that involves hanging from a bar by two hands. It can either be an ""active hang,"" where you pack the shoulders and activate the muscles of the upper back, or a ""passive hang,"" where you let the shoulders unpack and let the muscles of the upper body stretch. A passive hang may not be appropriate for all people depending on their shoulder health, but many coaches believe hanging can be healthy for the shoulders when done properly.",Strength,Abdominals,Body Only,Intermediate,,
