,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1899,Dumbbell goblet squat-,"The goblet squat is a popular lower-body exercise in which a dumbbell or kettlebell is held in front of the chest with two hands, approximating how you might hold a heavy goblet. It is used as a teaching tool to help instruct and develop proper squat form, but is also effective for building size in the quads, glutes, and hamstrings. It can be performed for low reps to build strength, or for higher reps to build muscle and conditioning.",Strength,Quadriceps,Kettlebells,Intermediate,,
1900,Robertson Kettlebell Jump,,Strength,Quadriceps,Kettlebells,Intermediate,,
1901,FYR2 Alternating Kettlebell Squat Clean,,Strength,Quadriceps,Kettlebells,Intermediate,,
1902,FYR2 Banded Double-Kettlebell Squat Pulse,,Strength,Quadriceps,Kettlebells,Intermediate,,
1903,FYR2 Double-Kettlebell Ballin' Lunge,,Strength,Quadriceps,Kettlebells,Intermediate,,
1904,FYR2 Double-Kettlebell Front Rack Lunge,,Strength,Quadriceps,Kettlebells,Intermediate,,
1905,FYR2 Double-Kettlebell Front Squat,,Strength,Quadriceps,Kettlebells,Intermediate,,
1906,FYR2 Explosive Kettlebell Jump Squat,,Strength,Quadriceps,Kettlebells,Intermediate,,
1907,FYR2 Kettlebell Goblet Squat,,Strength,Quadriceps,Kettlebells,Intermediate,,
1908,FYR2 Kettlebell Reverse Lunge Switch Grip,,Strength,Quadriceps,Kettlebells,Intermediate,,
1909,FYR2 Kettlebell Reverse Lunge to Kneeling Press,,Strength,Quadriceps,Kettlebells,Intermediate,,
1910,FYR2 Kettlebell Sumo Squat Pulse,,Strength,Quadriceps,Kettlebells,Intermediate,,
1911,FYR2 Reverse Lunge to Single-Leg Kettlebell Deadlift,,Strength,Quadriceps,Kettlebells,Intermediate,,
1912,FYR2 Kettlebell Goblet-Squat-Deadlift Complex,,Strength,Quadriceps,Kettlebells,Intermediate,,
1913,FYR2 Kettlebell Squat-Press-Deadlift Complex,,Strength,Quadriceps,Kettlebells,Intermediate,,
1914,Goblet Squats,,Strength,Quadriceps,Kettlebells,Intermediate,,
