,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
2444,Single-arm banded landmine press,"The single-arm banded landmine press is an upper-body exercise that uses an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The band adds constant tension and dynamic resistance to the exercise. The movement focuses primarily on the muscles of the shoulders or deltoids and can be trained in traditional muscle and strength-focused rep ranges or for higher reps.",Strength,Shoulders,Bands,Intermediate,,
2445,Band front raise rear fly row combo,"The band front raise rear fly row combo is a combination of three different shoulder exercises to build and strengthen the anterior, middle deltoids, and posterior portions of the shoulders. It requires a continuous loop band to provide constant, dynamic tension throughout the movement. In addition to the front and rear delts, this exercise works the arms, chest, back, and core, making it a great time-efficient shoulder burnout or accessory movement on an upper-body day.",Strength,Shoulders,Bands,Intermediate,,
2446,Jordan Shallow Foam Roller Thoracic Extension,,Strength,Shoulders,Foam Roll,Intermediate,,
2447,Jordan Shallow Thread the Needle (with Foam Roller),,Strength,Shoulders,Foam Roll,Intermediate,,
2448,Clean and press,"The clean and press is a full-body lift comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the overhead press. Decades ago, it was contested in the Olympics. Today, it remains a worthy centerpiece of a power and strength training program, and has full-body benefits when done for low reps as well as moderate to high reps.",Strength,Shoulders,Barbell,Intermediate,9.4,Average
2449,Clean and jerk,"The clean and jerk is a full-body lift that is one of two contested lifts in Olympic weightlifting competitions. It is comprised of two movements: the clean, where the bar is pulled from the floor and caught in the front rack position in three pulls or phases, followed by the jerk overhead. The clean and jerk hits every muscle from head to toe and can be the centerpiece of a lifting program. It is also popular in CrossFit and athletic training programs. It is usually performed in low rep ranges, focusing on power and movement quality.",Olympic Weightlifting,Shoulders,Barbell,Intermediate,9.3,Average
2450,Military press,"The military press is a compound movement used to build size and strength in the shoulders. It was once contested as a fourth powerlift, but is rarely competed anymore. However, being able to press a significant weight overhead remains a popular marker of upper-body strength. The military press can be trained as a strength lift or in traditional muscle-building rep ranges as part of full-body, shoulder-focused, or upper-body training.",Strength,Shoulders,Barbell,Intermediate,9.3,Average
2451,Seated barbell shoulder press,"The seated barbell shoulder press is a classic exercise for building muscle and strength in the shoulders. The triceps also play a significant role in pressing the barbell overhead. Performing the movement seated reduces help from the lower body and decreases the risk of overextending the lumbar spine during the movement. This press variation can be the primary pressing movement on an upper-body or shoulder day, or an effective accessory movement later in a workout.",Strength,Shoulders,Barbell,Intermediate,9.2,Average
2452,Snatch-Grip Behind-The-Neck Overhead Press,,Strength,Shoulders,Barbell,Beginner,9.0,Average
2453,Standing Bradford press,"The standing Bradford press is an obscure yet effective shoulder exercise that alternates front presses with behind-the-neck presses. It can be used as a warm-up for other press variations on a shoulder day, or as a muscle-building movement on its own in a shoulder or upper-body focused workout. It is usually performed for relatively high reps, such as 8-15 reps per set or higher, or just to the point of fatigue.",Strength,Shoulders,Barbell,Intermediate,8.7,Average
