,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1692,30 Back Incline Dumbbell Row,,Strength,Middle Back,Dumbbell,Intermediate,,
1693,30 Back Single-Arm Dumbbell Row,,Strength,Middle Back,Dumbbell,Intermediate,,
1694,30 Back Single-Arm Dumbbell Swing Row,,Strength,Middle Back,Dumbbell,Intermediate,,
1695,T-Bar Row with Handle,,Strength,Middle Back,Other,Intermediate,9.5,Average
1696,T-Bar Row,,Strength,Middle Back,Other,Intermediate,8.9,Average
1697,Alternating sit-through with crunch,"The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you perform a crunch. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength,Middle Back,Other,Intermediate,8.9,Average
1698,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8,Average
1699,Upside-down pull-up,"The upside-down pull-up is an advanced bodyweight exercise that is normally performed on a pair of gymnastic rings. It involves pulling the body toward the ceiling in an inverted position. It targets the same muscles as traditional pull-ups, including the lats (latissimus dorsi), biceps, and core. However, the pulling angle is more akin to a bent-over row or upright row, depending on the angle of your hips.",Strength,Middle Back,Other,Intermediate,8.8,Average
1700,Smith machine inverted row,"The Smith machine inverted row is a bodyweight exercise targeting the muscles of the lats (latissimus dorsi) and upper back, using the bar of the Smith machine to hang and pull from. You can change the bar height to customize the difficulty level and desired angle of the row. This variation is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Middle Back,Other,Intermediate,8.2,Average
1701,Lying T-Bar Row,,Strength,Middle Back,Other,Intermediate,7.9,Average
1702,Suspended row,"The suspended row is a bodyweight pulling exercise that focuses on the muscles of the middle and upper back, as well as the biceps. It can be trained in traditional muscle-building rep ranges or for higher reps. It can also work as part of a dynamic warm-up for a pressing or pulling-focused workout.",Strength,Middle Back,Other,Intermediate,7.6,Average
1703,Inverted Row with Straps,,Strength,Middle Back,Other,Beginner,6.4,Average
1704,One Arm Chin-Up,,Strength,Middle Back,Other,Beginner,6.3,Average
1705,Sled Row,,Strength,Middle Back,Other,Beginner,0.0,
1706,Paul Carter T-Bar Row,,Strength,Middle Back,Other,Intermediate,,
1707,Single-Arm Bent-Over Rear Delt Raise - Gethin Variation,"The single-arm bent-over rear delt fly or rear delt raise is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Strength,Middle Back,Other,Intermediate,,
1708,30 Back Plate Hyperextension,,Strength,Middle Back,Other,Intermediate,,
1709,Seated Cable Rows,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.8,Average
1710,Single-arm cable seated row,"The single-arm cable seated row is a version of the cable row movement that trains the muscles of the upper back one side at a time. It targets a wide range of muscles including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids. It also targets the biceps to a lesser degree. The single-arm row can work well in a variety of rep ranges but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,8.5,Average
1711,Paul Carter Lat Pull-Down,"The lat pull-down is a cable-based exercise machine that’s ubiquitous in gyms around the world. This back builder is easy to learn and highly effective, allowing for variable resistance depending on where you place the pin in the stack.",Strength,Middle Back,Cable,Intermediate,,
1712,TBS Lat Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1713,One-Arm Cable Read Delt Fly - Gethin Variation,"The single-arm bent-over cable rear delt fly is an exercise targeting the rear deltoids. It is a great way to isolate this area of the shoulder and attack each side independently. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Middle Back,Cable,Intermediate,,
1714,UP Seated Cable Row,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep-ranges, but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Middle Back,Cable,Intermediate,,
1715,UP Cable Straight-Arm Pull-Down,"The straight-arm rope pull-down is a variation of the straight-arm lat pull-down performed using a cable stack machine and a rope grip. It can either be performed in an athletic upright stance, or slightly bent-over. It both stretches and contracts the muscles of the lats (latissimus dorsi) as well as providing additional activation to the other upper back muscles and the core. Because the triceps are also isometrically involved in the movement, it is usually performed for higher reps, like 8-15 reps or above.",Strength,Middle Back,Cable,Intermediate,,
1716,UN Cable Pull-Through,,Strength,Middle Back,Cable,Intermediate,,
1717,30 Back Close-Grip Seated Cable Row,,Strength,Middle Back,Cable,Intermediate,,
1718,30 Back Incline Face-Up Cable Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1719,30 Back Kneeling High Cable Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1720,30 Back Leaning V-Bar Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1721,30 Back Reverse-Grip Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1722,30 Back Standing Low Cable Bar Row,,Strength,Middle Back,Cable,Intermediate,,
1723,30 Back Standing Low Cable Rope Row,,Strength,Middle Back,Cable,Intermediate,,
1724,30 Back Straight-Arm Bar Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1725,30 Back Straight-Arm Rope Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1726,30 Back Wide-Grip Behind-The-Head Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1727,30 Back Wide-Grip Pull-Down,,Strength,Middle Back,Cable,Intermediate,,
1728,30 back Wide-Grip Seated Cable Row,,Strength,Middle Back,Cable,Intermediate,,
1729,Rower,"The rower is a popular gym machine that is serious cardiovascular work, but also targets the legs, back, and arm muscles. It's a great way build overall aerobic and muscular fitness. It is popular in CrossFit-style workouts, but is also a staple in all types of gyms. It can be equally effective for HIIT-style interval workouts or for longer-duration endurance work.",Cardio,Middle Back,Machine,Intermediate,8.9,Average
