,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1120,Single-dumbbell push-up,"The single-dumbbell push-up is a more difficult push-up variation where you balance your hands on the ends of a dumbbell. This simple change makes many muscle groups work harder, helping encourage muscle and strength gains across the upper body.",Strength,Chest,Dumbbell,Intermediate,7.3,Average
1121,One-Arm Flat Bench Dumbbell Flye,,Strength,Chest,Dumbbell,Beginner,6.5,Average
1122,Dumbbell Fix Dumbbell Floor Chest Fly,,Strength,Chest,Dumbbell,Intermediate,,
1123,Dumbbell Fix Traveling Push-Up,,Strength,Chest,Dumbbell,Intermediate,,
1124,Incline dumbbell chest fly,"The incline dumbbell chest fly is an upper-body exercise targeting the chest. Performing it at an incline helps to target the upper chest in particular, while limiting involvement of the shoulders. Fly variations are usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Chest,Dumbbell,Intermediate,,
1125,Paul Carter Dumbbell Shrug,"The standing dumbbell shrug is a popular movement to build and strengthen the trapezius muscles. It’s a often trained on a bodybuilding-style shoulder or back training day, but can also work well in full-body or strength-focused training.",Strength,Chest,Dumbbell,Intermediate,,
1126,Dumbbell push-up row,"The dumbbell push-up row combines pressing, rowing, and core stabilization into a single sequence. It's popular in time-efficient strength and muscle-building workouts.",Strength,Chest,Dumbbell,Intermediate,,
1127,TBS Dumbbell Incline Press,The incline dumbbell bench press is an upper body exercise targeting the upper pectoral muscles.,Strength,Chest,Dumbbell,Intermediate,,
1128,Incline Dumbbell Fly - Gethin Variation,"The incline dumbbell chest fly is an upper body isolation exercise targeting the upper chest and is typically used with aesthetic goals in mind. It will require less weight than an incline press, which makes it a great hypertrophy exercise with high reps.",Strength,Chest,Dumbbell,Intermediate,,
1129,Dumbbell bench press-,"The dumbbell bench press is a mainstay of lifters worldwide. It's a classic move for building a bigger, stronger chest and triceps. It's often placed first in mass-building chest workouts, but can also be utilized as an accessory movement for the barbell bench press in strength training. It can be performed in lower strength-focused rep ranges, or for higher reps to build muscle.",Strength,Chest,Dumbbell,Intermediate,,
1130,Decline dumbbell fly and press,"The decline dumbbell fly and press is a dumbbell complex that targets the chest muscles, particularly the lower pecs. By alternating the single-joint fly with the multijoint press, you get the benefits of both and put serious stress on the chest muscles even with relatively light weight. Because the fly will be the limiting factor in weight selection, this pairing is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,Intermediate,,
1131,Incline dumbbell fly and press,"The incline dumbbell fly and press is a dumbbell complex that targets the chest muscles, particularly the upper pecs. By alternating the single-joint fly with the multijoint press, you get the benefits of both and put serious stress on the chest muscles even with relatively light weight. Because the fly will be the limiting factor in weight selection, this pairing is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,Intermediate,,
1132,Single-arm decline dumbbell bench press,"The single-arm decline dumbbell bench press is an upper-body exercise targeting the pectoral muscles, particularly the lower pecs. Because balance can be an issue, this press variation is usually performed with lighter weight for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,Intermediate,,
1133,Single-arm incline dumbbell bench press,"The single-arm incline dumbbell bench press is an upper-body exercise targeting the pectoral muscles. Because balance can be an issue, this press variation is usually performed with lighter weight for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Dumbbell,Intermediate,,
1134,Incline Dumbbell Press - Gethin Variation,The incline dumbbell bench press is an upper body exercise targeting the upper pectoral muscles.,Strength,Chest,Dumbbell,Intermediate,,
1135,Dumbbell Chest Press - Gethin Variation,"The dumbbell bench press is a mainstay of workout enthusiasts worldwide. It’s a classic move for building a bigger, stronger chest. As such, it’s often placed first in mass-building chest workouts.",Strength,Chest,Dumbbell,Intermediate,,
1136,Dumbbell Floor Press - Gethin Variation,"The dumbbell floor press limits the range of motion you would achieve with a regular dumbbell bench press, but still targets the chest, triceps, and anterior delts. This allows you to build strength in the top portion of the lift and work on strengthening the shoulder stabilizers.",Strength,Chest,Dumbbell,Intermediate,,
1137,Decline Dumbbell Press - Gethin Variation,The decline dumbbell bench press is an upper body isolation exercise targeting the lower chest. Utilizing dumbbells instead of a barbell increases the difficulty of stabilizing the weight.,Strength,Chest,Dumbbell,Intermediate,,
1138,Dumbbell chest fly,"The dumbbell chest fly is a popular exercise that targets the pectoral or chest muscles. It attempts to isolate the chest muscles, stretching and contracting them while limiting involvement of the shoulders. Unlike a press, where the elbows bend and flex, flyes should keep a relatively consistent elbow angle. The motion is sometimes compared to ""hugging a tree."" Dumbbell flyes are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a chest or upper-body focused workout.",Strength,Chest,Dumbbell,Intermediate,,
1139,Machine rear delt fly,"The machine rear delt fly is an exercise targeting the rear head of the shoulder muscle or deltoids, as well as the muscles of the upper back. It's sort of the reverse of the machine chest fly, and is sometimes performed on the same machine, but facing the opposite direction. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more.",Strength,Chest,Dumbbell,Intermediate,,
1140,AM Dumbbell Bench Press,"The dumbbell bench press is a mainstay of workout enthusiasts worldwide. It’s a classic move for building a bigger, stronger chest. As such, it’s often placed first in mass-building chest workouts.",Strength,Chest,Dumbbell,Intermediate,,
1141,UP Incline Dumbbell Press,The incline dumbbell bench press is an upper body exercise targeting the upper pectoral muscles.,Strength,Chest,Dumbbell,Intermediate,,
1142,UP Incline Dumbbell Fly,"The incline dumbbell chest fly is an upper body isolation exercise targeting the upper chest and is typically used with aesthetic goals in mind. It will require less weight than an incline press, which makes it a great hypertrophy exercise with high reps.",Strength,Chest,Dumbbell,Intermediate,,
1143,Holman Push-Up to Belly Touch,,Strength,Chest,Dumbbell,Intermediate,,
1144,Single-arm dumbbell floor press,"The single-arm dumbbell floor press is a multijoint pressing exercise performed lying on the floor, either with the knees bent or straight. It has less range of motion than a regular dumbbell bench press, but still targets the chest, triceps, and anterior delts. By performing it with one arm, you can strengthen weakness on certain sides or simply use it as a way to challenge the core more during this exercise.",Strength,Chest,Dumbbell,Intermediate,,
