,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
2240,HM Comet,,Strength,Quadriceps,Body Only,Intermediate,,
2241,HM Couch Stretch,,Strength,Quadriceps,Body Only,Intermediate,,
2242,HM Down Up,,Strength,Quadriceps,Body Only,Intermediate,,
2243,HM Duck Walk,,Strength,Quadriceps,Body Only,Intermediate,,
2244,HM Fragon,,Strength,Quadriceps,Body Only,Intermediate,,
2245,HM Frankenstein,,Strength,Quadriceps,Body Only,Intermediate,,
2246,HM Single-Leg Squat on Chair,,Strength,Quadriceps,Body Only,Intermediate,,
2247,HM Single-Leg Touchdown,,Strength,Quadriceps,Body Only,Intermediate,,
2248,HM Speed Skater,,Strength,Quadriceps,Body Only,Intermediate,,
2249,HM Squat Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2250,HM Squat Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2251,HM Garland Pose,,Strength,Quadriceps,Body Only,Intermediate,,
2252,HM High Knees,,Strength,Quadriceps,Body Only,Intermediate,,
2253,HM In-And-Out Squat,,Strength,Quadriceps,Body Only,Intermediate,,
2254,HM In-And-Out Squat Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2255,HM Jumping Jack,,Strength,Quadriceps,Body Only,Intermediate,,
2256,HM Jumping Knee-Up,,Strength,Quadriceps,Body Only,Intermediate,,
2257,HM Jumping Rope,,Strength,Quadriceps,Body Only,Intermediate,,
2258,HM Right Calf-Spike Sumo Pulse,,Strength,Quadriceps,Body Only,Intermediate,,
2259,HM Reverse Lunge with Kick,,Strength,Quadriceps,Body Only,Intermediate,,
2260,HM Left Knee-Up,,Strength,Quadriceps,Body Only,Intermediate,,
2261,HM Left-Leg Lunge And Kick-Out,,Strength,Quadriceps,Body Only,Intermediate,,
2262,HM Mountain Pose,,Strength,Quadriceps,Body Only,Intermediate,,
2263,HM Butt Kickers,,Strength,Quadriceps,Body Only,Intermediate,,
2264,HM Right-Leg Lunge And Kick-Out,,Strength,Quadriceps,Body Only,Intermediate,,
2265,HM Sumo Get-Up,,Strength,Quadriceps,Body Only,Intermediate,,
2266,AM Jump Squat,"The jump squat is an explosive bodyweight exercise targeting the quads, hamstrings, and glutes. It is also a serious cardiovascular challenge when done for reps. It can be performed as a power exercise to build jumping power, or in any fat-loss or athleticism-focused workout.",Strength,Quadriceps,Body Only,Intermediate,,
2267,AM Bodyweight Squat,"The bodyweight squat is a fundamental exercise that strengthens the quads, glutes, and hamstrings. It can be performed as part of a dynamic warm-up, for time or reps during a workout, or for hip and spine mobility any time.",Strength,Quadriceps,Body Only,Intermediate,,
2268,High knees sprawl drill,"The high knees sprawl drill is a full-body, cardio and strength-focused exercise. It can be performed for reps or time in a fast-paced circuit or other workout.",Strength,Quadriceps,Body Only,Intermediate,,
2269,UP Bulgarian Split Squat,"The dumbbell Bulgaria split squat is a single-leg exercise targeting the quads, glutes, and hamstrings.",Strength,Quadriceps,Body Only,Intermediate,,
2270,UN Forward Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2271,UN Front Foot Elevated Split Squat,,Strength,Quadriceps,Body Only,Intermediate,,
2272,UNS Half-Kneeling Hip Flexor Stretch,,Strength,Quadriceps,Body Only,Intermediate,,
2273,UNS Low Depth Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2274,UNS Forward-To-Reverse Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2275,Holman Towel Squat Thrust,,Strength,Quadriceps,Body Only,Intermediate,,
2276,Holman Towel Alternating Prisoner Squat,,Strength,Quadriceps,Body Only,Intermediate,,
2277,Holman Towel Alternating Lateral Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2278,Holman Squat Pull-Through Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2279,Holman 180 Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2280,Holman Foot-Elevated Knee-Up to Squat,,Strength,Quadriceps,Body Only,Intermediate,,
2281,Holman Feet-Elevated Squat Thrust,,Strength,Quadriceps,Body Only,Intermediate,,
2282,Holman Hands-Elevated Lunge Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2283,Holman Hands-Elevated Jack to Split Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2284,Holman Hands-Elevated Wide Squat Thrust,,Strength,Quadriceps,Body Only,Intermediate,,
2285,Holman Hands-Elevated Squat Thrust to Split Jack,,Strength,Quadriceps,Body Only,Intermediate,,
2286,Holman Squat Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2287,Holman Squat Pulse,,Strength,Quadriceps,Body Only,Intermediate,,
2288,Holman Jump-Out Push-Up,,Strength,Quadriceps,Body Only,Intermediate,,
2289,Holman Alternating Forward Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2290,Holman Burpee to Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2291,Holman Pilates Single-Leg Stretch,,Strength,Quadriceps,Body Only,Intermediate,,
2292,Holman Alternating Reverse Prisoner Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2293,Holman Narrow-Wide Squat Jump to 180 Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2294,Holman 180 Jump to Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2295,Holman Imaginary Jump Rope,,Strength,Quadriceps,Body Only,Intermediate,,
2296,Holman Fast Feet with Hands Up,,Strength,Quadriceps,Body Only,Intermediate,,
2297,Holman Hands-Elevated Alternating Lunge Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2298,Holman Right Split Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2299,Holman Left Split Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2300,Holman Plyometric Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2301,Holman Quad Touch Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2302,Holman Skate,,Strength,Quadriceps,Body Only,Intermediate,,
2303,Holman Lunge Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2304,Holman Flying Squat Thrust,,Strength,Quadriceps,Body Only,Intermediate,,
2305,Holman 90-Degree Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2306,Holman Half Jack to 180 Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2307,Holman Quick Feet to Quad Touch Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2308,Holman Squat Thrust to Push-Up to Super Woman,,Strength,Quadriceps,Body Only,Intermediate,,
2309,Holman Plyometric Jump to 180 Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2310,Holman Standing Heel Click to Hands Down Heel Click,,Strength,Quadriceps,Body Only,Intermediate,,
2311,Holman Burpee to 180 Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2312,Holman Traveling Low Jack to Belly Touch,,Strength,Quadriceps,Body Only,Intermediate,,
2313,Holman Flying Squat Thrust to Shoulder Tap,,Strength,Quadriceps,Body Only,Intermediate,,
2314,Holman Squat Jump to Alternating Side Lunge Jump,,Strength,Quadriceps,Body Only,Intermediate,,
2315,Holman Low Squat with Low Diagonal Dumbbell Punch,,Strength,Quadriceps,Body Only,Intermediate,,
2316,Holman Right Leg Hop to Right Reverse Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2317,Holman Left Leg Hop to Left Reverse Lunge,,Strength,Quadriceps,Body Only,Intermediate,,
2318,Holman Burpee to Open Stance,,Strength,Quadriceps,Body Only,Intermediate,,
2319,Holman Diagonal Squat Thrust to Renegade Forward Punch,,Strength,Quadriceps,Body Only,Intermediate,,
2320,Holman Bear Crawl,,Strength,Quadriceps,Body Only,Intermediate,,
