,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
2688,Standing cable rear delt row,"The standing cable rear delt row primarily targets the rear deltoids. This movement also hits the traps, rhomboids, and biceps. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,8.4,Average
2689,Standing Low-Pulley Deltoid Raise,"The single-arm cable lateral raise is an isolation exercise targeting the shoulders, specifically the medial deltoid. This movement also hits the traps and upper back, and allows you to focus on each side independently. Because grip is a limitation, it is usually performed for moderate to high reps, like at least 8-12 reps per set, as part of an upper body or shoulders-focused workout.",Strength,Shoulders,Cable,Intermediate,8.3,Average
2690,Standing crossed-cable rear delt fly,"The standing crossed-cable rear delt fly is an isolation exercise for the rear deltoids. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,8.2,Average
2691,Cable Shoulder Press,,Strength,Shoulders,Cable,Beginner,8.1,Average
2692,Alternating Cable Shoulder Press,,Strength,Shoulders,Cable,Beginner,8.0,Average
2693,Cable Seated Lateral Raise,,Strength,Shoulders,Cable,Intermediate,6.5,Average
2694,Single-arm lying cable front raise,"The single-arm lying cable front raise is an isolation exercise for the shoulders, performed lying on the back, either on a bench or the ground, and lifting the cable over the torso one arm at a time. This movement is usually performed for moderate to high reps for a burn and pump as part of a shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,,
2695,Lying cable front raise,"The lying cable front raise is an isolation exercise for the shoulders, particularly the front deltoids. It is performed lying on the back, either on a bench or the ground, with the cable lifted over the torso. This movement is usually performed for moderate to high reps for a burn and pump as part of a shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,,
2696,Cable Rear Delt Fly - Gethin Variation,"The standing crossed-cable rear delt fly is an isolation exercise for the rear deltoids. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,,
2697,One-Arm Cable Side Raise - Gethin Variation,"The single-arm cable lateral raise is an isolation exercise targeting the shoulders, specifically the medial deltoid. This movement also hits the traps and upper back, and allows you to focus on each side independently. Because grip is a limitation, it is usually performed for moderate to high reps, like at least 8-12 reps per set, as part of an upper body or shoulders-focused workout.",Strength,Shoulders,Cable,Intermediate,,
2698,Rope Face Pull - Gethin Variation,"The standing face pull is an isolation exercise primarily targeting the rear deltoids, traps, and upper back. It is most often performed with a rope attachment.",Strength,Shoulders,Cable,Intermediate,,
2699,Lying cable lateral raise,"The lying cable lateral raise is an isolation exercise that targets the medial or middle deltoid muscle of the shoulders. It is most common in muscle-building shoulder or upper-body workouts, usually in higher rep ranges of at least 8-12 reps per set.",Strength,Shoulders,Cable,Intermediate,,
2700,Cable seated row,"The cable seated row is a popular exercise to train the muscles of the upper back, including the lats (latissimus dorsi), traps, rhomboids, and rear deltoids, using a cable stack. It also targets the biceps to a lesser degree. The cable row can work well in a variety of rep ranges but is most popular in muscle-building workouts or as an accessory movement for strength workouts.",Strength,Shoulders,Cable,Intermediate,,
2701,Single-arm cable lateral raise,"The single-arm cable lateral raise is an isolation exercise targeting the shoulders, specifically the medial deltoid. This movement also hits the traps and upper back and allows you to focus on each side independently. Because grip is a limitation, it is usually performed for moderate to high reps, at least 8-12 reps per set, as part of an upper-body or shoulder-focused workout.",Strength,Shoulders,Cable,Intermediate,,
2702,UP Cable Face Pull,"The standing face pull is an isolation exercise primarily targeting the rear deltoids, traps, and upper back. It is most often performed with a rope attachment.",Strength,Shoulders,Cable,Intermediate,,
2703,AA Cable Leaning Side Raise,,Strength,Shoulders,Cable,Intermediate,,
2704,30 Shoulders Bent-Over Low Cable Reverse Fly,,Strength,Shoulders,Cable,Intermediate,,
2705,30 Shoulders Cable Rope Face Pull,,Strength,Shoulders,Cable,Intermediate,,
2706,30 Shoulders Cable Straight-Bar Front Raise,,Strength,Shoulders,Cable,Intermediate,,
2707,30 Shoulders Cable Straight-Bar Upright Row,,Strength,Shoulders,Cable,Intermediate,,
2708,30 Shoulders High Cable Reverse Fly,,Strength,Shoulders,Cable,Intermediate,,
2709,30 Shoulders Single-Arm Bent-Over Cable Reverse Fly,,Strength,Shoulders,Cable,Intermediate,,
2710,30 Shoulders Single-Arm Cable Front Raise,,Strength,Shoulders,Cable,Intermediate,,
2711,30 Shoulders Single-Arm Leaning Cable Lateral Raise,,Strength,Shoulders,Cable,Intermediate,,
2712,RG 3-Way Single-Arm Rear Delt Cable Fly,,Strength,Shoulders,Cable,Intermediate,,
2713,RG Single-Arm Cross-Body Cable Front Raise,,Strength,Shoulders,Cable,Intermediate,,
2714,Smith machine shoulder press,"The Smith machine shoulder press is a machine-based exercise targeting the deltoid muscles. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a shoulder or upper-body focused workout.",Strength,Shoulders,Machine,Intermediate,8.9,Average
2715,Machine shoulder press,"The machine shoulder press is a machine-based exercise targeting the deltoid muscles. It approximates the motion of a free-weight shoulder press, but uses a selectorized weight-stack or plate-loaded machine. Many such machines also allow you to choose between different grips and grip widths. Machine shoulder presses are often done for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body or shoulder-focused portion of a workout.",Strength,Shoulders,Machine,Intermediate,8.9,Average
