,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
896,Calf Press On A Hack Squat Machine - Gethin Variation,The hack squat calf raise is a variation of the standing calf raise to target them in a different manner than seated or fully standing.,Strength,Calves,Machine,Intermediate,,
897,Smith Machine Standing Calf Raises - Gethin Variation,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Strength,Calves,Machine,Intermediate,,
898,Hack squat calf raise,"The hack squat calf raise is a variation of the standing calf raise performed in a hack squat machine. This allows for heavy loading, but also shoulder comfort from the pads of the hack squat. Calf raise variations are often performed for relatively high reps, such as 10-20 reps per set or more.",Strength,Calves,Machine,Intermediate,,
899,Seated Calf Press - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,,
900,Leg press calf raise,"The leg press calf raise is a variation of the standing calf raise performed in a leg press machine. This allows for heavy loading, but also shoulder comfort from the pads of the leg press. Calf raise variations are often performed for relatively high reps, such as 10-20 reps per set or more.",Strength,Calves,Machine,Intermediate,,
901,Machine seated calf raise,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Strength,Calves,Machine,Intermediate,,
902,30 Legs Seated Calf Raise,,Strength,Calves,Machine,Intermediate,,
903,30 Legs Standing Calf Raise,,Strength,Calves,Machine,Intermediate,,
904,Peroneals-SMR,,Stretching,Calves,Body Only,Intermediate,6.4,Average
905,Knee Circles,,Stretching,Calves,Body Only,Beginner,6.3,Average
906,Standing Gastrocnemius Calf Stretch,,Stretching,Calves,Body Only,Intermediate,5.6,Average
907,Wall calf stretch,The wall calf stretch is a stretch targeting the calf muscles. This is a simple way to stretch these often-tight muscles without any equipment needed.,Stretching,Calves,Body Only,Intermediate,5.3,Average
908,Seated Calf Stretch,,Stretching,Calves,Body Only,Intermediate,4.1,Average
909,Standing Calf Raise,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Body Only,Intermediate,,
910,Standing calf raise-,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. When unweighted, it is usually performed for high reps or for time.",Strength,Calves,Body Only,Intermediate,,
911,HM Left Calf-Spike Sumo Pulse,,Strength,Calves,Body Only,Intermediate,,
912,Ankle Circles,,Stretching,Calves,None,Beginner,7.2,Average
913,Calf Stretch Elbows Against Wall,,Stretching,Calves,None,Beginner,4.9,Average
914,Standing Soleus And Achilles Stretch,,Stretching,Calves,None,Beginner,4.2,Average
915,Cross Over - With Bands,,Strength,Chest,Bands,Beginner,8.3,Average
916,Bench Press - With Bands,,Strength,Chest,Bands,Beginner,5.5,Average
917,Bench Press With Short Bands,,Powerlifting,Chest,Bands,Beginner,0.0,
918,Feet-Elevated TRX Push-Up,,Strength,Chest,Bands,Beginner,0.0,
919,Band-suspended kettlebell bench press,"The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.",Strength,Chest,Bands,Intermediate,,
920,HM Banded Cross-Over Pull,,Strength,Chest,Bands,Intermediate,,
921,Rusin Band Pull-Apart,,Strength,Chest,Bands,Intermediate,,
922,UNS Banded Push-Up,,Strength,Chest,Bands,Intermediate,,
923,Taylor Band-Assisted One-Arm Push-Up,,Strength,Chest,Bands,Intermediate,,
924,Incline band bench press,"The incline band bench press is variation of the incline press, a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Bands,Intermediate,,
925,Band push-up,"The band push-up is a progression of the popular bodyweight version of the exercise commonly used in military and tactical physical fitness tests. Adding the dynamic resistance of the band matches the strength curve of the push-up and helps build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Strength,Chest,Bands,Intermediate,,
926,Band chest fly,"Similar to the cable chest fly, the band chest fly is a single-joint movement that works the pectoral muscles. The fly is common in upper-body and chest-focused muscle-building workouts, and the band variation works well as a pre-exhaust at the beginning of a workout or a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.",Strength,Chest,Bands,Intermediate,,
927,Close-grip bench press,"The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the triceps. The close-grip bench press is often used as an accessory movement for the traditional bench press, or as a triceps builder for arm training. Similar to the bench press, it can be trained in low reps for strength or higher reps for muscle or strength endurance.",Strength,Chest,Barbell,Intermediate,9.1,Average
928,Barbell Bench Press - Medium Grip,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Strength,Chest,Barbell,Intermediate,9.0,Average
929,Decline barbell bench press,"The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Strength,Chest,Barbell,Intermediate,8.9,Average
930,Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.",Strength,Chest,Barbell,Beginner,8.9,Average
931,Wide-Grip Decline Barbell Bench Press,,Strength,Chest,Barbell,Beginner,8.9,Average
932,Barbell Incline Bench Press Medium-Grip,The incline bench press is an upper body compound movement that targets the upper chest.,Strength,Chest,Barbell,Intermediate,8.8,Average
933,Neck Press,,Strength,Chest,Barbell,Beginner,8.8,Average
934,Front Raise And Pullover,,Strength,Chest,Barbell,Beginner,8.3,Average
935,Board bench press,"The board bench press is an upper-body exercise that is commonly performed as an assistance movement for the bench press. It targets the same muscles as the bench press, including the chest and shoulders, but really focuses on the triceps. Because you can load it more heavily than a full bench press, it allows you to overload the triceps and lock out of the bench press.",Powerlifting,Chest,Barbell,Intermediate,7.7,Average
936,Barbell Bench Press-Wide Grip,"The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.",Strength,Chest,Barbell,Beginner,7.6,Average
937,Wide-Grip Decline Barbell Pullover,,Strength,Chest,Barbell,Beginner,7.3,Average
